Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6792825,MDG_0000000001,COUNTRY,SVK,EUR,YEAR,Europe,SEX,2001,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,7.8 [7.5-8.0],7.779244453,7.533376853,8.023803922,,2025-04-15T15:49:27.583+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6792928,MDG_0000000001,COUNTRY,RUS,EUR,YEAR,Europe,SEX,1973,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,18.9 [17.7-20.2],18.877894574,17.699763355,20.186617349,,2025-04-15T15:49:27.583+02:00,1973,1973-01-01T00:00:00+01:00,1973-12-31T00:00:00+01:00
6793162,MDG_0000000001,COUNTRY,ISR,EUR,YEAR,Europe,SEX,2008,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,3.9 [3.9-4.0],3.947774811,3.855671303,4.041980594,,2025-04-15T15:49:27.583+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
6793407,MDG_0000000001,COUNTRY,UKR,EUR,YEAR,Europe,SEX,1987,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,21.5 [19.0-24.8],21.538668424,18.951848491,24.821918824,"The State Statistics Service of Ukraine (SSSU) have suspended the compilation of impartial statistical information on births and deaths starting from 2022 and on the number of population starting from data as of January 1, 2023, onwards. Consequently, no data is available for 2022.",2025-04-15T15:49:27.583+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
6793540,MDG_0000000001,COUNTRY,NGA,AFR,YEAR,Africa,SEX,2003,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,81.2 [75.8-87.0],81.17198453,75.817386636,86.977567413,,2025-04-15T15:49:27.583+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6793933,MDG_0000000001,COUNTRY,CMR,AFR,YEAR,Africa,SEX,2021,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,43.8 [34.7-55.2],43.820642492,34.685341729,55.204271041,,2025-04-15T15:49:27.583+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6794704,MDG_0000000001,COUNTRY,SVN,EUR,YEAR,Europe,SEX,1995,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,6.8 [6.4-7.2],6.78013941,6.403724933,7.165433132,,2025-04-15T15:49:27.583+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
6794745,MDG_0000000001,UNSDGREGION,UNSDG_SIDS,,YEAR,,SEX,2001,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,39.0 [37.3-40.9],39.004498786,37.293731909,40.882030484,,2025-04-15T15:49:27.583+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6794884,MDG_0000000001,COUNTRY,STP,AFR,YEAR,Africa,SEX,2000,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,50.7 [44.7-57.5],50.744687503,44.721711147,57.504028321,,2025-04-15T15:49:27.583+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6794953,MDG_0000000001,COUNTRY,ERI,AFR,YEAR,Africa,SEX,1997,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,66.0 [60.0-72.7],65.96649086,59.970924501,72.661161289,,2025-04-15T15:49:27.583+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
6795251,MDG_0000000001,COUNTRY,PRY,AMR,YEAR,Americas,SEX,1971,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,60.8 [55.8-66.4],60.80186824,55.75055501,66.361497444,,2025-04-15T15:49:27.583+02:00,1971,1971-01-01T00:00:00+01:00,1971-12-31T00:00:00+01:00
6796278,MDG_0000000001,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,SEX,1990,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,103.6 [96.7-110.8],103.574505063,96.722112495,110.83408717,,2025-04-15T15:49:27.583+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
