Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6419443,MDG_0000000001,MGHEREG,UNICEF_ESARO,YEAR,,,SEX,SEX_FMLE,2014,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,43.2 [40.6-47.2],43.169491676,40.628024965,47.190945166,,2025-04-15T15:49:27.583+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6420590,MDG_0000000001,UNICEFREGION,UNICEFREGIONSA,YEAR,,,SEX,SEX_MLE,2005,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,60.4 [58.5-62.4],60.422273208,58.532257627,62.438295946,,2025-04-15T15:49:27.583+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6420608,MDG_0000000001,COUNTRY,TKM,YEAR,EUR,Europe,SEX,SEX_MLE,2023,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,35.6 [21.8-58.5],35.613937101,21.826943605,58.457079268,,2025-04-15T15:49:27.583+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6420760,MDG_0000000001,UNSDGREGION,UNSDG_SOUTHASIA,YEAR,,,SEX,SEX_FMLE,1997,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,73.1 [71.1-75.1],73.053604053,71.096797621,75.136628899,,2025-04-15T15:49:27.583+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
6420895,MDG_0000000001,COUNTRY,MAR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,1989,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,67.6 [62.8-72.5],67.560208902,62.828885108,72.540015028,,2025-04-15T15:49:27.583+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
6420987,MDG_0000000001,COUNTRY,SGP,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2009,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.2 [2.1-2.4],2.247980409,2.104359259,2.395950435,,2025-04-15T15:49:27.583+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6421071,MDG_0000000001,COUNTRY,COK,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,1965,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,58.5 [48.0-71.0],58.522010451,47.982595483,71.012458957,,2025-04-15T15:49:27.583+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
6421350,MDG_0000000001,UNSDGREGION,UNSDG_EASTERNASIASOUTHEASTERNASIA,YEAR,,,SEX,SEX_BTSX,1999,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,33.6 [32.5-34.8],33.573875182,32.520440749,34.779125817,,2025-04-15T15:49:27.583+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
6421504,MDG_0000000001,COUNTRY,URY,YEAR,AMR,Americas,SEX,SEX_BTSX,1955,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,54.2 [52.8-55.6],54.18844805,52.796583014,55.628654269,,2025-04-15T15:49:27.583+02:00,1955,1955-01-01T00:00:00+01:00,1955-12-31T00:00:00+01:00
6421584,MDG_0000000001,COUNTRY,VCT,YEAR,AMR,Americas,SEX,SEX_FMLE,1989,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,18.8 [17.4-20.3],18.789984005,17.386312313,20.281737319,,2025-04-15T15:49:27.583+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
6421656,MDG_0000000001,COUNTRY,LSO,YEAR,AFR,Africa,SEX,SEX_MLE,1976,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,128.3 [115.8-142.3],128.295972451,115.765663653,142.287313211,,2025-04-15T15:49:27.583+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
6421836,MDG_0000000001,COUNTRY,MKD,YEAR,EUR,Europe,SEX,SEX_BTSX,1986,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,44.6 [43.4-45.8],44.58315016,43.440367603,45.778268171,,2025-04-15T15:49:27.583+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
6421925,MDG_0000000001,COUNTRY,GTM,YEAR,AMR,Americas,SEX,SEX_MLE,2017,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,24.1 [19.7-29.3],24.080437786,19.711229762,29.345335693,,2025-04-15T15:49:27.583+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6422150,MDG_0000000001,COUNTRY,NIU,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2021,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,26.4 [11.7-59.5],26.405027679,11.742980755,59.462143827,,2025-04-15T15:49:27.583+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6422166,MDG_0000000001,COUNTRY,SVK,YEAR,EUR,Europe,SEX,SEX_MLE,1994,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,11.9 [11.6-12.3],11.930034562,11.564999655,12.304430244,,2025-04-15T15:49:27.583+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
6422629,MDG_0000000001,COUNTRY,GRD,YEAR,AMR,Americas,SEX,SEX_MLE,1963,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,52.1 [48.9-55.6],52.144664084,48.898074879,55.601737708,,2025-04-15T15:49:27.583+02:00,1963,1963-01-01T00:00:00+01:00,1963-12-31T00:00:00+01:00
6423345,MDG_0000000001,COUNTRY,AND,YEAR,EUR,Europe,SEX,SEX_BTSX,2020,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.7 [0.8-10.1],2.738213381,0.765316007,10.129011677,,2025-04-15T15:49:27.583+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6423498,MDG_0000000001,COUNTRY,GIN,YEAR,AFR,Africa,SEX,SEX_MLE,1983,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,161.6 [149.0-175.1],161.58170329,149.027000803,175.134723057,,2025-04-15T15:49:27.583+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
