Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8972982,MDG_0000000001,COUNTRY,VGB,YEAR,AMR,Americas,SEX,SEX_BTSX,2022,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,12.0 [6.6-21.5],12.002905345,6.577407902,21.491768947,,2025-04-15T15:49:27.583+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
8973145,MDG_0000000001,COUNTRY,TJK,YEAR,EUR,Europe,SEX,SEX_FMLE,2001,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,50.6 [44.9-56.9],50.612590964,44.887795202,56.925197956,,2025-04-15T15:49:27.583+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
8973256,MDG_0000000001,COUNTRY,GIN,YEAR,AFR,Africa,SEX,SEX_FMLE,1991,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,121.3 [112.7-130.5],121.324428486,112.720404355,130.485523851,,2025-04-15T15:49:27.583+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
8973308,MDG_0000000001,COUNTRY,LBY,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,1994,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,26.2 [22.8-30.0],26.205528981,22.806563002,30.039399309,,2025-04-15T15:49:27.583+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
8973402,MDG_0000000001,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,1971,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,72.7 [62.2-85.0],72.74908559,62.177808451,85.046180152,,2025-04-15T15:49:27.583+02:00,1971,1971-01-01T00:00:00+01:00,1971-12-31T00:00:00+01:00
8973403,MDG_0000000001,COUNTRY,VUT,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,1984,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,39.8 [32.8-48.0],39.797103943,32.828093945,48.004807318,,2025-04-15T15:49:27.583+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
8973425,MDG_0000000001,COUNTRY,CHN,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2004,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,20.0 [18.7-21.5],20.013692784,18.662787714,21.463563072,,2025-04-15T15:49:27.583+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
8973525,MDG_0000000001,COUNTRY,PHL,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,1986,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,40.9 [37.7-44.4],40.897990342,37.676780577,44.353373725,,2025-04-15T15:49:27.583+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
8973530,MDG_0000000001,UNICEFREGION,UNICEFREGIONWCA,YEAR,,,SEX,SEX_FMLE,1992,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,94.8 [91.7-98.1],94.761223612,91.747777892,98.122549342,,2025-04-15T15:49:27.583+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
8973540,MDG_0000000001,UNSDGREGION,UNSDG_SOUTHASIA,YEAR,,,SEX,SEX_BTSX,2013,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,44.1 [42.6-45.6],44.059863652,42.589454866,45.649109067,,2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
