Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2192578,MDG_0000000001,COUNTRY,SWE,YEAR,EUR,Europe,SEX,1960,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,16.3 [16.0-16.7],16.310021834,15.979514767,16.650950308,,2026-08-04T15:40:44.863+02:00,1960,1960-01-01T00:00:00+01:00,1960-12-31T00:00:00+01:00
2192821,MDG_0000000001,COUNTRY,JAM,YEAR,AMR,Americas,SEX,2009,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,15.2 [13.3-17.4],15.212162399,13.300919365,17.39086846,,2026-08-04T15:40:44.863+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
2192987,MDG_0000000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,2008,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,4.4 [4.3-4.5],4.36101354,4.27936355,4.450927282,,2026-08-04T15:40:44.863+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2193061,MDG_0000000001,COUNTRY,BEN,YEAR,AFR,Africa,SEX,1982,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,102.9 [95.5-111.0],102.889394559,95.530307807,111.042405456,,2026-08-04T15:40:44.863+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
2193107,MDG_0000000001,COUNTRY,SLV,YEAR,AMR,Americas,SEX,2009,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,16.4 [13.9-19.3],16.365665846,13.910156312,19.304412221,,2026-08-04T15:40:44.863+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
2193213,MDG_0000000001,COUNTRY,GAB,YEAR,AFR,Africa,SEX,2016,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,28.5 [23.3-35.2],28.466308151,23.294984293,35.24324907,,2026-08-04T15:40:44.863+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2193220,MDG_0000000001,COUNTRY,PRK,YEAR,SEAR,South-East Asia,SEX,1951,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,213.1 [166.9-272.8],213.07884,166.86798972,272.817215676,The UN IGME estimates are not the official statistics of the Democratic People's Republic of Korea.,2025-04-15T15:49:27.583+02:00,1951,1951-01-01T00:00:00+01:00,1951-12-31T00:00:00+01:00
2193300,MDG_0000000001,COUNTRY,TUN,YEAR,EMR,Eastern Mediterranean,SEX,2020,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,13.5 [13.2-13.8],13.49921646,13.23257198,13.771281186,,2026-08-04T15:40:44.863+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
2193555,MDG_0000000001,COUNTRY,HND,YEAR,AMR,Americas,SEX,1998,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,37.9 [34.4-41.6],37.860876969,34.375911066,41.608921525,,2026-08-04T15:40:44.863+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
2193968,MDG_0000000001,COUNTRY,GRD,YEAR,AMR,Americas,SEX,2008,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,12.4 [11.1-13.7],12.363551265,11.088238956,13.74672248,,2026-08-04T15:40:44.863+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2194164,MDG_0000000001,COUNTRY,TZA,YEAR,AFR,Africa,SEX,1993,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,103.5 [97.0-110.2],103.523942061,96.950520356,110.187826869,,2026-08-04T15:40:44.863+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
2194424,MDG_0000000001,COUNTRY,NPL,YEAR,SEAR,South-East Asia,SEX,2000,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,66.1 [61.6-70.9],66.075274537,61.581235881,70.945871017,,2026-08-04T15:40:44.863+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
