Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3849120,MDG_0000000001,UNSDGREGION,UNSDG_EASTERNASIA,YEAR,,,SEX,2014,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,8.0 [7.5-8.6],8.045685761,7.494775751,8.63329694,,2026-08-04T15:40:44.863+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3849179,MDG_0000000001,COUNTRY,YEM,YEAR,EMR,Eastern Mediterranean,SEX,2020,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,37.6 [31.6-45.0],37.569493429,31.601976792,45.013623435,,2026-08-04T15:40:44.863+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
3849205,MDG_0000000001,COUNTRY,DOM,YEAR,AMR,Americas,SEX,1952,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,103.3 [86.5-121.3],103.295423618,86.524637462,121.265279078,,2026-08-04T15:40:44.863+02:00,1952,1952-01-01T00:00:00+01:00,1952-12-31T00:00:00+01:00
3849257,MDG_0000000001,COUNTRY,FJI,YEAR,WPR,Western Pacific,SEX,2002,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,16.7 [16.1-17.3],16.682198692,16.095487193,17.280401434,,2026-08-04T15:40:44.863+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
3849443,MDG_0000000001,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,SEX,2003,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,27.8 [27.0-28.6],27.765571504,26.957748725,28.632483043,,2026-08-04T15:40:44.863+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
3849664,MDG_0000000001,UNSDGREGION,UNSDG_OCEANIAexAUSNZL,YEAR,,,SEX,1993,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,55.2 [50.4-60.6],55.212557966,50.355309363,60.595081937,,2026-08-04T15:40:44.863+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
3849673,MDG_0000000001,COUNTRY,IDN,YEAR,WPR,Western Pacific,SEX,1958,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,137.6 [124.6-151.9],137.603900686,124.574708757,151.90252664,,2026-08-04T15:40:44.863+02:00,1958,1958-01-01T00:00:00+01:00,1958-12-31T00:00:00+01:00
3849801,MDG_0000000001,COUNTRY,BEN,YEAR,AFR,Africa,SEX,1958,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,152.2 [137.0-170.4],152.224807082,137.047978401,170.383049062,,2026-08-04T15:40:44.863+02:00,1958,1958-01-01T00:00:00+01:00,1958-12-31T00:00:00+01:00
3849802,MDG_0000000001,COUNTRY,CZE,YEAR,EUR,Europe,SEX,1978,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,13.7 [12.8-14.8],13.700538361,12.77403142,14.778561849,,2026-08-04T15:40:44.863+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
3849881,MDG_0000000001,UNICEFREGION,UNICEFREGIONWCA,YEAR,,,SEX,2022,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,59.5 [56.0-64.3],59.549590376,55.968667879,64.333472122,,2026-08-04T15:40:44.863+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3850169,MDG_0000000001,COUNTRY,ROU,YEAR,EUR,Europe,SEX,1964,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,50.6 [49.4-51.8],50.602000981,49.382624957,51.848318036,,2026-08-04T15:40:44.863+02:00,1964,1964-01-01T00:00:00+01:00,1964-12-31T00:00:00+01:00
3850422,MDG_0000000001,COUNTRY,TCA,YEAR,AMR,Americas,SEX,2020,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,3.3 [1.1-9.0],3.296099808,1.134332984,8.976047907,,2026-08-04T15:40:44.863+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
3850568,MDG_0000000001,COUNTRY,KIR,YEAR,WPR,Western Pacific,SEX,1986,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,80.2 [70.1-91.6],80.161332332,70.138724185,91.570606986,,2026-08-04T15:40:44.863+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
3851155,MDG_0000000001,COUNTRY,MWI,YEAR,AFR,Africa,SEX,1978,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,132.4 [122.4-143.7],132.394228339,122.386733424,143.702057622,,2026-08-04T15:40:44.863+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
3851275,MDG_0000000001,COUNTRY,CIV,YEAR,AFR,Africa,SEX,1985,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,93.7 [86.1-102.3],93.668511864,86.055363291,102.262726279,,2026-08-04T15:40:44.863+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
