Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1560861,WHOSIS_000001,COUNTRY,PRT,EUR,YEAR,Europe,SEX,SEX_BTSX,2013,,,,,,,80.5 [80.5-80.6],80.52727852,80.51807051,80.59846509,,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1562530,WHOSIS_000001,COUNTRY,BOL,AMR,YEAR,Americas,SEX,SEX_BTSX,2001,,,,,,,66.7 [66.2-67.3],66.7449711,66.22860866,67.33137655,,2024-08-02T09:43:39.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1562626,WHOSIS_000001,COUNTRY,MWI,AFR,YEAR,Africa,SEX,SEX_MLE,2001,,,,,,,44.8 [43.8-45.9],44.80238617,43.84943621,45.91945549,,2024-08-02T09:43:39.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1562672,WHOSIS_000001,COUNTRY,NZL,WPR,YEAR,Western Pacific,SEX,SEX_MLE,2007,,,,,,,78.0 [78.0-78.1],78.03513601,78.00271047,78.14409149,,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1562688,WHOSIS_000001,COUNTRY,URY,AMR,YEAR,Americas,SEX,SEX_BTSX,2010,,,,,,,76.5 [76.4-76.6],76.48217264,76.40277192,76.60157277,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1568106,WHOSIS_000001,COUNTRY,NLD,EUR,YEAR,Europe,SEX,SEX_MLE,2010,,,,,,,78.7 [78.7-78.8],78.74333827,78.73626446,78.82203782,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1573407,WHOSIS_000001,COUNTRY,PAN,AMR,YEAR,Americas,SEX,SEX_FMLE,2008,,,,,,,80.2 [80.0-80.5],80.24548564,80.03129115,80.5494797,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
1573829,WHOSIS_000001,COUNTRY,ZAF,AFR,YEAR,Africa,SEX,SEX_BTSX,2020,,,,,,,64.3 [63.9-64.8],64.30356494,63.85867937,64.75510388,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1574500,WHOSIS_000001,COUNTRY,NOR,EUR,YEAR,Europe,SEX,SEX_MLE,2010,,,,,,,78.8 [78.8-78.9],78.82036851,78.80652704,78.91846158,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1578868,WHOSIS_000001,COUNTRY,RWA,AFR,YEAR,Africa,SEX,SEX_FMLE,2004,,,,,,,55.9 [55.1-56.9],55.92435392,55.05270224,56.88662024,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1579288,WHOSIS_000001,COUNTRY,ISR,EUR,YEAR,Europe,SEX,SEX_BTSX,2011,,,,,,,81.6 [81.6-81.7],81.64888794,81.63164392,81.73653336,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1579908,WHOSIS_000001,COUNTRY,CRI,AMR,YEAR,Americas,SEX,SEX_FMLE,2010,,,,,,,82.1 [82.1-82.3],82.14653772,82.05909375,82.27275189,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1580603,WHOSIS_000001,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,SEX,SEX_BTSX,2010,,,,,,,49.5 [48.6-50.6],49.52620758,48.5668486,50.56985455,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1581054,WHOSIS_000001,COUNTRY,GRC,EUR,YEAR,Europe,SEX,SEX_BTSX,2021,,,,,,,79.6 [79.6-79.7],79.59785025,79.55212594,79.70438643,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
1581653,WHOSIS_000001,COUNTRY,BLZ,AMR,YEAR,Americas,SEX,SEX_MLE,2019,,,,,,,72.5 [72.2-73.0],72.54915078,72.20867797,72.97882585,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1581772,WHOSIS_000001,COUNTRY,BTN,SEAR,YEAR,South-East Asia,SEX,SEX_FMLE,2020,,,,,,,75.9 [75.3-76.4],75.9050448,75.26754146,76.4489783,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1582438,WHOSIS_000001,COUNTRY,MLI,AFR,YEAR,Africa,SEX,SEX_BTSX,2000,,,,,,,53.1 [52.3-54.1],53.05862872,52.28532434,54.07553037,,2024-08-02T09:43:39.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1582550,WHOSIS_000001,COUNTRY,AUT,EUR,YEAR,Europe,SEX,SEX_BTSX,2000,,,,,,,78.2 [78.2-78.3],78.17598734,78.15435395,78.26364817,,2024-08-02T09:43:39.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1582575,WHOSIS_000001,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,SEX,SEX_BTSX,2006,,,,,,,63.1 [62.3-63.8],63.07149815,62.31644191,63.79887853,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1582649,WHOSIS_000001,COUNTRY,BRN,WPR,YEAR,Western Pacific,SEX,SEX_FMLE,2003,,,,,,,77.5 [77.3-77.7],77.46040411,77.25923746,77.74385838,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1586517,WHOSIS_000001,COUNTRY,USA,AMR,YEAR,Americas,SEX,SEX_MLE,2004,,,,,,,75.0 [75.0-75.1],75.0192455,74.9683362,75.07015481,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1586600,WHOSIS_000001,COUNTRY,SRB,EUR,YEAR,Europe,SEX,SEX_BTSX,2012,,,,,,,74.8 [74.8-75.0],74.84163486,74.78187452,74.96666926,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1586975,WHOSIS_000001,COUNTRY,IND,SEAR,YEAR,South-East Asia,SEX,SEX_BTSX,2004,,,,,,,65.1 [64.5-65.6],65.06317912,64.50511437,65.64249048,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1587696,WHOSIS_000001,COUNTRY,SEN,AFR,YEAR,Africa,SEX,SEX_MLE,2020,,,,,,,66.6 [65.9-67.4],66.59261465,65.85800463,67.3670088,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1592008,WHOSIS_000001,COUNTRY,PRY,AMR,YEAR,Americas,SEX,SEX_FMLE,2009,,,,,,,77.6 [77.1-78.1],77.56930172,77.06138339,78.09466242,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
